Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,393.56,598.82,214.12,99.19,222.79,41.48,21.34,3.31,9.63,6.40,70.56,NA,NA,NA,NA,13.97,75.32,0.32,230.10,NA,0.00,157.49,974.07,NA
2022-01-02 00:00:00,424.81,598.95,228.46,96.99,258.12,40.60,27.42,1.90,11.58,7.07,88.37,NA,NA,NA,NA,14.33,75.32,0.32,230.36,NA,0.00,153.11,974.16,NA
2022-01-03 00:00:00,375.52,636.12,199.10,109.72,237.60,42.33,19.10,2.31,8.47,7.93,66.65,NA,NA,NA,NA,14.79,72.44,0.35,223.51,NA,0.00,153.24,973.69,NA
2022-01-04 00:00:00,291.86,564.58,227.86,96.62,247.82,45.26,20.05,1.81,11.73,6.89,56.49,NA,NA,NA,NA,16.14,66.95,0.31,209.49,NA,0.00,144.70,973.12,NA
2022-01-05 00:00:00,353.05,449.37,118.76,60.40,128.94,37.73,15.30,1.65,25.07,NA,NA,NA,NA,NA,NA,14.45,86.60,0.89,138.08,NA,0.00,77.72,973.50,NA
2022-01-06 00:00:00,120.90,157.82,26.88,42.38,44.47,44.43,10.00,1.43,8.94,0.00,67.70,NA,NA,NA,NA,15.72,82.20,1.25,89.32,NA,0.00,144.16,973.29,NA
2022-01-07 00:00:00,72.49,113.19,17.57,34.21,32.52,41.07,14.85,2.25,11.59,0.76,64.37,NA,NA,NA,NA,16.00,84.32,2.12,96.95,NA,0.00,131.28,972.83,NA
2022-01-08 00:00:00,53.31,67.90,16.70,35.83,32.67,39.96,10.17,1.61,12.30,1.40,24.24,NA,NA,NA,NA,15.60,93.13,1.38,100.12,NA,0.00,85.93,973.17,NA
2022-01-09 00:00:00,54.36,63.73,82.74,38.86,88.14,29.36,5.91,1.50,9.43,1.77,21.44,NA,NA,NA,NA,14.87,92.26,0.34,202.27,NA,0.00,82.74,973.65,NA
2022-01-10 00:00:00,121.59,226.59,136.99,58.95,146.49,21.85,16.21,2.23,12.98,3.73,22.28,NA,NA,NA,NA,14.61,82.57,0.33,255.00,NA,0.00,168.94,973.37,NA
2022-01-11 00:00:00,165.16,323.12,125.41,62.37,135.41,20.73,10.25,2.81,11.58,4.32,24.65,NA,NA,NA,NA,14.12,81.50,0.54,260.40,NA,0.00,176.63,973.03,NA
2022-01-12 00:00:00,161.36,386.92,134.48,67.79,151.17,22.48,14.27,2.41,14.19,3.82,22.48,NA,NA,NA,NA,13.89,79.72,0.33,249.80,NA,0.00,166.02,973.16,NA
2022-01-13 00:00:00,283.14,552.75,196.36,85.95,211.81,29.76,15.44,2.46,18.14,5.91,43.26,NA,NA,NA,NA,13.38,88.54,0.30,210.30,NA,0.00,155.84,973.17,NA
2022-01-14 00:00:00,239.45,445.49,103.37,57.97,115.10,32.97,15.66,2.46,9.82,4.30,22.28,NA,NA,NA,NA,12.99,90.15,0.33,218.22,NA,0.00,142.78,972.36,NA
2022-01-15 00:00:00,206.32,356.00,80.42,47.43,90.80,27.28,13.76,2.23,8.50,3.34,16.47,NA,NA,NA,NA,12.79,85.56,0.35,238.51,NA,0.00,135.04,972.28,NA
2022-01-16 00:00:00,205.72,386.60,67.91,53.29,83.72,30.35,11.74,2.39,11.04,3.10,16.11,NA,NA,NA,NA,12.99,80.90,0.35,203.54,NA,0.00,153.27,972.68,NA
2022-01-17 00:00:00,254.13,420.81,61.33,62.90,83.45,36.89,12.83,1.73,14.19,3.51,22.17,NA,NA,NA,NA,13.28,80.36,0.74,156.23,NA,0.00,162.71,972.95,NA
2022-01-18 00:00:00,301.47,652.56,124.43,62.82,134.88,34.89,13.67,2.95,7.14,0.00,0.00,NA,NA,NA,NA,13.32,81.12,0.39,257.32,NA,0.00,159.06,973.36,NA
2022-01-19 00:00:00,310.94,621.62,90.22,73.40,112.61,32.45,19.85,1.20,8.39,1.94,26.85,NA,NA,NA,NA,13.77,81.20,0.35,219.76,NA,0.00,145.21,973.73,NA
2022-01-20 00:00:00,288.58,511.42,59.89,50.79,75.83,37.62,19.83,2.08,9.93,4.66,39.26,NA,NA,NA,NA,13.94,87.09,1.00,102.26,NA,0.00,151.45,973.82,NA
2022-01-21 00:00:00,252.48,483.34,79.30,64.85,99.12,38.73,27.52,1.24,18.10,5.38,48.62,NA,NA,NA,NA,14.45,84.82,0.71,140.03,NA,0.00,164.34,973.49,NA
2022-01-22 00:00:00,151.22,230.61,28.24,49.46,49.33,37.24,13.89,0.92,10.79,2.90,26.90,NA,NA,NA,NA,13.97,88.43,1.72,99.51,NA,0.00,79.70,973.78,NA
2022-01-23 00:00:00,170.85,244.01,112.07,44.70,115.15,31.06,15.67,1.46,8.93,3.66,32.57,NA,NA,NA,NA,13.78,89.05,0.79,172.23,NA,0.00,129.21,974.03,NA
2022-01-24 00:00:00,239.75,465.86,182.12,64.96,183.00,29.72,20.23,0.97,7.58,6.06,48.27,NA,NA,NA,NA,13.35,85.04,0.30,224.90,NA,0.00,158.20,974.15,NA
2022-01-25 00:00:00,243.59,528.75,181.85,54.54,189.30,32.66,18.92,2.35,5.69,5.08,26.56,NA,NA,NA,NA,12.53,88.23,0.45,244.15,NA,0.00,136.39,974.17,NA
2022-01-26 00:00:00,238.82,482.21,172.06,52.33,171.39,30.75,19.39,1.93,7.75,5.41,31.14,NA,NA,NA,NA,13.20,84.49,0.45,232.75,NA,0.00,174.55,974.49,NA
2022-01-27 00:00:00,223.67,585.84,202.16,75.78,208.03,30.70,17.82,2.11,8.77,5.41,28.87,NA,NA,NA,NA,14.06,78.66,0.56,248.83,NA,0.00,178.20,973.91,NA
2022-01-28 00:00:00,173.86,507.06,137.93,85.98,155.92,23.91,20.92,1.90,13.15,3.72,23.99,NA,NA,NA,NA,14.60,64.80,0.74,253.57,NA,0.00,180.75,973.85,NA
2022-01-29 00:00:00,222.21,583.30,218.93,95.09,236.01,29.44,20.07,1.73,9.48,5.27,36.85,NA,NA,NA,NA,14.99,67.88,0.43,245.71,NA,0.00,176.20,973.97,NA
2022-01-30 00:00:00,219.24,564.89,141.54,84.96,160.56,33.57,21.26,1.95,11.44,4.64,21.44,NA,NA,NA,NA,15.77,65.95,0.68,255.09,NA,0.00,177.22,973.84,NA
