Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01,75.01893939393939,99.54545454545455,10.870833333333332,7.861458333333334,18.729166666666668,41.07539682539683,1.9552083333333332,0.48020833333333335,17.777083333333334,1.1260416666666666,0.7885416666666667,,,,,11.635416666666666,76.39687500000001,0.24270833333333333,254.56770833333334,0.0,0.0,22.321875000000002,997.1572916666668,
2023-01-02,206.0277777777778,271.34375,12.733333333333334,14.492708333333333,27.22083333333333,77.89537037037037,1.5614583333333334,1.2038194444444443,19.154166666666665,2.419791666666667,5.184375,,,,,11.371875000000001,80.29270833333334,0.2617424242424242,199.1818181818182,0.0,0.0,30.988541666666666,998.3447916666668,
2023-01-03,203.34375,303.1354166666667,4.202083333333333,12.232291666666667,16.431250000000002,59.61022727272727,2.3651515151515152,1.409375,14.763541666666667,1.9802083333333333,5.202083333333333,,,,,10.869791666666666,78.50729166666666,0.34270833333333334,151.36770833333333,0.0,0.0,28.07604166666667,999.3572916666667,
2023-01-04,132.34027777777777,191.4409722222222,3.6531249999999997,8.172569444444443,11.827430555555557,74.875,1.1590277777777778,0.6322916666666667,19.076041666666665,1.2239583333333333,1.3434027777777777,,,,,9.912847222222222,78.70243055555555,0.36527777777777776,135.03854166666667,0.0,0.0,28.938888888888886,994.2774305555555,
2023-01-05,118.26041666666667,153.55208333333334,7.528125,9.225,16.744791666666668,64.92083333333333,1.7038194444444443,0.8937499999999999,9.777083333333334,1.6322916666666665,2.9947916666666665,,,,,9.019791666666666,83.28333333333333,0.27291666666666664,165.43958333333333,0.0,0.0,23.756249999999998,990.7197916666668,
2023-01-06,146.71875,226.95833333333334,6.308333333333334,15.010416666666666,21.307291666666668,62.17291666666667,1.502777777777778,1.0114583333333333,8.730208333333334,2.058333333333333,6.996875,,,,,9.127083333333333,82.44270833333333,0.39687500000000003,143.55208333333334,0.0,0.0,24.147916666666664,991.19375,
2023-01-07,132.26041666666666,174.53125,10.884375,13.838541666666666,24.71666666666667,58.27326388888889,1.4111111111111112,0.9041666666666667,9.044791666666667,1.9375,3.6489583333333333,,,,,8.735416666666667,82.67604166666668,0.30416666666666664,189.00729166666667,0.0,0.0,23.942708333333332,988.9322916666666,
2023-01-08,143.60416666666666,176.02083333333334,10.269791666666666,10.020833333333334,20.289583333333333,67.17083333333333,1.2166666666666666,1.125,9.079166666666667,2.1125000000000003,1.765625,,,,,9.138541666666667,83.00937499999999,0.26875,233.65104166666666,0.0,0.0,24.429166666666664,986.0614583333332,
2023-01-09,255.8715277777778,318.5,23.89027777777778,21.243750000000002,45.13368055555555,79.91006944444445,1.2177083333333334,2.4055555555555554,8.155208333333333,4.022101449275362,9.725,,,,,10.0375,83.25625000000001,0.3076388888888889,114.26215277777777,0.0,0.0,24.555208333333336,986.8697916666666,
2023-01-10,141.47826086956522,171.7826086956522,5.825,11.578125,17.401041666666668,69.04166666666667,1.293402777777778,1.4270833333333333,14.282291666666666,2.3802083333333335,3.377083333333333,,,,,10.603125,80.59583333333333,0.27395833333333336,153.728125,0.0,0.0,24.41979166666667,985.9447916666667,
2023-01-11,130.29166666666666,190.16666666666666,2.6458333333333335,15.373958333333334,18.015625,69.74791666666667,1.4458333333333335,0.9878472222222222,23.922916666666666,1.84375,2.954166666666667,,,,,11.840625000000001,76.284375,0.5364583333333334,183.38020833333334,0.0,0.0,24.036458333333332,981.5541666666667,
2023-01-12,175.95833333333334,257.2916666666667,4.5843750000000005,17.308333333333334,21.88854166666667,75.971875,1.4121527777777778,1.3805555555555555,16.344791666666666,2.3645833333333335,3.3249999999999997,,,,,13.176041666666668,73.90833333333333,0.5614583333333333,196.28020833333335,0.0,0.0,25.911458333333332,979.1947916666667,
2023-01-13,187.75,251.625,6.877083333333334,11.473958333333334,18.349999999999998,78.85208333333334,1.2750000000000001,1.546875,16.302083333333332,2.28125,2.8166666666666664,,,,,13.366666666666667,78.12708333333333,0.403125,222.73229166666667,0.0,0.0,31.304166666666664,980.4583333333334,
2023-01-14,130.08333333333334,181.95833333333334,2.027083333333333,6.697916666666667,8.710416666666667,52.87395833333333,1.592013888888889,0.6243055555555556,23.503125,1.2020833333333334,0.8104166666666667,,,,,11.804166666666667,71.43020833333334,0.33229166666666665,184.76458333333335,0.0,0.0,27.601041666666664,983.7697916666666,
2023-01-15,64.58333333333333,118.08333333333333,2.4614583333333333,9.78125,12.241666666666667,34.03819444444444,1.4381944444444443,0.39375,23.632291666666664,0.8260416666666667,0.43124999999999997,,,,,9.705208333333333,64.13229166666666,0.32916666666666666,234.19270833333334,0.0,0.0,18.757291666666667,982.6114583333333,
2023-01-16,95.20833333333333,155.625,9.546875,13.136458333333332,22.671875,42.398263888888884,1.7024305555555557,0.5812499999999999,23.872916666666665,1.0218749999999999,0.9,,,,,9.798958333333333,66.865625,0.2635416666666667,211.05937500000002,0.0,0.0,21.878125,983.634375,
2023-01-17,99.91666666666667,147.45833333333334,6.248958333333333,14.607291666666667,20.840625,44.21770833333333,1.1454861111111112,0.5489583333333333,21.90833333333333,1.0145833333333334,0.8708333333333332,,,,,9.742708333333333,65.109375,0.3229166666666667,231.66354166666667,0.0,0.0,20.214583333333334,984.1635416666667,
2023-01-18,110.69565217391305,170.91304347826087,18.455208333333335,15.016666666666666,33.46875,44.22708333333333,1.3756944444444443,0.6916666666666668,24.039583333333336,1.2166666666666666,1.6395833333333334,,,,,10.134375,65.43020833333334,0.30624999999999997,219.109375,0.0,0.0,21.29583333333333,985.9520833333332,
