source_file,station_id,year,variable,non_null_count,null_count,null_pct,numeric_coercion_failures,min,max,median
"raw_data_data_jawaharlal_nehru_stadium,_delhi_-_dpcc_1D.csv",jawaharlal_nehru_stadium,2023,rh_pct,358,7,1.92,0,34.5202380952381,91.00104166666668,68.42291666666667
"raw_data_data_jawaharlal_nehru_stadium,_delhi_-_dpcc_1D.csv",jawaharlal_nehru_stadium,2023,wind_dir_deg,358,7,1.92,0,90.75243055555556,305.4270833333333,262.5875
"raw_data_data_jawaharlal_nehru_stadium,_delhi_-_dpcc_1D.csv",jawaharlal_nehru_stadium,2023,wind_speed_ms,358,7,1.92,0,0.3381944444444444,1.4403846153846156,1.0229166666666667
"raw_data_data_najafgarh,_delhi_-_dpcc_1D_22.csv",najafgarh,2022,air_temp_c,362,3,0.82,0,8.95,37.95,28.035
"raw_data_data_najafgarh,_delhi_-_dpcc_1D_22.csv",najafgarh,2022,pm10_ugm3,362,3,0.82,0,8.75,460.97,159.57
"raw_data_data_najafgarh,_delhi_-_dpcc_1D_22.csv",najafgarh,2022,pm25_ugm3,362,3,0.82,0,5.59,368.34,66.55000000000001
"raw_data_data_najafgarh,_delhi_-_dpcc_1D_22.csv",najafgarh,2022,rh_pct,362,3,0.82,0,29.89,88.27,64.265
"raw_data_data_najafgarh,_delhi_-_dpcc_1D_22.csv",najafgarh,2022,wind_dir_deg,362,3,0.82,0,34.75,348.88,199.995
"raw_data_data_najafgarh,_delhi_-_dpcc_1D_22.csv",najafgarh,2022,wind_speed_ms,362,3,0.82,0,0.2,3.81,0.83
"raw_data_data_najafgarh,_delhi_-_dpcc_1D.csv",najafgarh,2023,air_temp_c,358,7,1.92,0,8.735416666666667,37.35625,22.805208333333333
"raw_data_data_najafgarh,_delhi_-_dpcc_1D.csv",najafgarh,2023,pm10_ugm3,359,6,1.64,0,12.88095238095238,470.7916666666667,140.57291666666666
"raw_data_data_najafgarh,_delhi_-_dpcc_1D.csv",najafgarh,2023,pm25_ugm3,359,6,1.64,0,5.684782608695652,355.6145833333333,61.85416666666666
"raw_data_data_najafgarh,_delhi_-_dpcc_1D.csv",najafgarh,2023,rh_pct,358,7,1.92,0,31.57604166666667,85.5,65.3921875
"raw_data_data_najafgarh,_delhi_-_dpcc_1D.csv",najafgarh,2023,wind_dir_deg,357,8,2.19,0,83.83541666666666,337.4010416666667,193.24270833333333
"raw_data_data_najafgarh,_delhi_-_dpcc_1D.csv",najafgarh,2023,wind_speed_ms,357,8,2.19,0,0.2041666666666667,2.1350694444444445,0.378125
"raw_data_data_narela,_delhi_-_dpcc_1D_22.csv",narela,2022,air_temp_c,364,1,0.27,0,10.07,36.86,27.42
"raw_data_data_narela,_delhi_-_dpcc_1D_22.csv",narela,2022,pm10_ugm3,364,1,0.27,0,28.62,713.68,217.95
"raw_data_data_narela,_delhi_-_dpcc_1D_22.csv",narela,2022,pm25_ugm3,361,4,1.1,0,7.7,541.68,92.24
"raw_data_data_narela,_delhi_-_dpcc_1D_22.csv",narela,2022,rh_pct,364,1,0.27,0,37.4,93.42,68.005
"raw_data_data_narela,_delhi_-_dpcc_1D_22.csv",narela,2022,wind_dir_deg,364,1,0.27,0,31.07,314.15,177.61
"raw_data_data_narela,_delhi_-_dpcc_1D_22.csv",narela,2022,wind_speed_ms,364,1,0.27,0,0.22,4.52,0.96
"raw_data_data_narela,_delhi_-_dpcc_1D.csv",narela,2023,air_temp_c,359,6,1.64,0,8.953125,35.2625,25.289130434782606
"raw_data_data_narela,_delhi_-_dpcc_1D.csv",narela,2023,pm10_ugm3,359,6,1.64,0,32.416666666666664,603.0520833333334,202.4090909090909
"raw_data_data_narela,_delhi_-_dpcc_1D.csv",narela,2023,pm25_ugm3,359,6,1.64,0,8.791666666666666,376.4270833333333,82.28125
"raw_data_data_narela,_delhi_-_dpcc_1D.csv",narela,2023,rh_pct,359,6,1.64,0,12.946875,93.13333333333334,66.32604166666667
"raw_data_data_narela,_delhi_-_dpcc_1D.csv",narela,2023,wind_dir_deg,359,6,1.64,0,0.8958333333333334,333.61354166666666,176.49687500000002
"raw_data_data_narela,_delhi_-_dpcc_1D.csv",narela,2023,wind_speed_ms,359,6,1.64,0,0.2364583333333333,2.6645833333333333,0.7979166666666667
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D_22.csv",okhla_phase_2,2022,air_temp_c,365,0,0.0,0,10.56,39.87,28.75
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D_22.csv",okhla_phase_2,2022,pm10_ugm3,365,0,0.0,0,9.73,580.82,229.57
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D_22.csv",okhla_phase_2,2022,pm25_ugm3,365,0,0.0,0,6.18,384.99,74.41
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D_22.csv",okhla_phase_2,2022,rh_pct,365,0,0.0,0,31.94,86.55,61.01
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D_22.csv",okhla_phase_2,2022,wind_dir_deg,365,0,0.0,0,33.24,294.51,167.71
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D_22.csv",okhla_phase_2,2022,wind_speed_ms,365,0,0.0,0,0.2,2.33,0.88
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D.csv",okhla_phase_2,2023,air_temp_c,359,6,1.64,0,9.3125,34.954166666666666,26.495833333333334
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D.csv",okhla_phase_2,2023,pm10_ugm3,358,7,1.92,0,17.59375,797.25,188.68229166666666
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D.csv",okhla_phase_2,2023,pm25_ugm3,359,6,1.64,0,6.520833333333333,521.6875,66.08333333333333
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D.csv",okhla_phase_2,2023,rh_pct,359,6,1.64,0,35.598958333333336,85.77187500000001,61.79479166666667
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D.csv",okhla_phase_2,2023,wind_dir_deg,359,6,1.64,0,48.47604166666667,274.39270833333336,183.77083333333331
"raw_data_data_okhla_phase-2,_delhi_-_dpcc_1D.csv",okhla_phase_2,2023,wind_speed_ms,359,6,1.64,0,0.1753472222222222,1.571875,0.7062499999999999
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D_22.csv",punjabi_bagh,2022,air_temp_c,365,0,0.0,0,11.43,45.08,29.55
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D_22.csv",punjabi_bagh,2022,pm10_ugm3,364,1,0.27,0,42.15,675.49,227.79
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D_22.csv",punjabi_bagh,2022,pm25_ugm3,364,1,0.27,0,15.22,362.41,100.58500000000001
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D_22.csv",punjabi_bagh,2022,rh_pct,365,0,0.0,0,28.96,89.55,60.14
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D_22.csv",punjabi_bagh,2022,wind_dir_deg,365,0,0.0,0,70.85,200.79,149.52
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D_22.csv",punjabi_bagh,2022,wind_speed_ms,365,0,0.0,0,0.3,1.4,0.51
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D.csv",punjabi_bagh,2023,air_temp_c,359,6,1.64,0,7.347916666666666,38.78020833333333,29.854166666666668
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D.csv",punjabi_bagh,2023,pm10_ugm3,358,7,1.92,0,34.80416666666667,602.9166666666666,193.75868055555554
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D.csv",punjabi_bagh,2023,pm25_ugm3,359,6,1.64,0,18.55,435.6493055555556,79.46875
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D.csv",punjabi_bagh,2023,rh_pct,359,6,1.64,0,33.42307692307692,87.52708333333334,60.65208333333334
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D.csv",punjabi_bagh,2023,wind_dir_deg,359,6,1.64,0,108.79166666666669,230.47916666666663,188.38541666666663
"raw_data_data_punjabi_bagh,_delhi_-_dpcc_1D.csv",punjabi_bagh,2023,wind_speed_ms,359,6,1.64,0,0.3,1.731597222222222,0.4270833333333333
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D_22.csv",r_k_puram,2022,air_temp_c,365,0,0.0,0,7.2,37.5,25.5
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D_22.csv",r_k_puram,2022,pm10_ugm3,365,0,0.0,0,23.92,524.91,212.83
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D_22.csv",r_k_puram,2022,pm25_ugm3,365,0,0.0,0,11.41,406.9,89.76
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D_22.csv",r_k_puram,2022,rh_pct,365,0,0.0,0,29.1,95.36,69.52
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D_22.csv",r_k_puram,2022,wind_dir_deg,365,0,0.0,0,142.72,201.12,179.81
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D_22.csv",r_k_puram,2022,wind_speed_ms,365,0,0.0,0,0.31,3.04,0.62
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D.csv",r_k_puram,2023,air_temp_c,359,6,1.64,0,11.994791666666666,41.51458333333333,27.54583333333333
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D.csv",r_k_puram,2023,pm10_ugm3,356,9,2.47,0,31.58730158730159,614.6944444444445,187.875
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D.csv",r_k_puram,2023,pm25_ugm3,359,6,1.64,0,13.826086956521738,505.6770833333333,87.18181818181819
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D.csv",r_k_puram,2023,rh_pct,359,6,1.64,0,30.671875,92.62291666666664,68.23333333333333
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D.csv",r_k_puram,2023,wind_dir_deg,359,6,1.64,0,151.28125,207.52083333333331,178.81349206349208
"raw_data_data_r_k_puram,_delhi_-_dpcc_1D.csv",r_k_puram,2023,wind_speed_ms,359,6,1.64,0,0.3089285714285714,1.915625,0.6044871794871794
